Index;Sport;Championnat;Événement;Formule pari;Prono;Prono ID;Cote;CA (PG);CA en %;Mises (PG);Mises en %;Mises single (PG);Mises single en %;% CA Single;Nb PDJ;Liability;Liability RU;Liability Single;Exposure;Payout;Mises combinés;Combinés perdants;Combinés en cours
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Goncalo Inacio;122718426;20;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Brandon Aguilera Zamora;122718431;20;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Georgios Vagiannidis;122718423;20;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Joao Graca;122718430;20;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Georgios Liavas;122718438;20;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Quaresma;122718450;20;5;0 %;10;0 %;0;0 %;0 %;1;7 974;7 974;7 708;0;0;10;10;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Julien Lomboto;122718424;20;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Nikolaos Athanasiou;122718427;20;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
6573;Football;Liga Portugal;Sporting-Rio Ave;Buteur MT;Nelson Abbey;122718425;20;0;0 %;0;0 %;0;0 %;0 %;0;7 974;7 974;7 708;0;0;0;0;0
7566;;;;;30265638;;74,53;2 925;100 %;4 663;100 %;2 072;100 %;71 %;806;;;;;;2 591;1 055;1 536
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Luis Javier Suarez;122718343;3,45;2 277;78 %;3 842;82 %;1 571;76 %;69 %;669;-4 430;-5 136;-3 588;5 639;6 558;2 271;1 003;1 268
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Fotis Ioannidis;122718326;5,4;248;8 %;346;7 %;162;8 %;65 %;34;1 292;1 292;1 196;714;876;184;12;172
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Rodrigo Ribeiro;122718347;6,4;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Francisco Trincao;122718341;8;253;9 %;306;7 %;214;10 %;85 %;63;358;358;347;1 595;1 810;92;35;57
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Alisson de Almeida Santos;122718334;10,5;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Goncalves, Flavio;122718344;12;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Maximiliano Araujo;122718338;13;93;3 %;109;2 %;78;4 %;84 %;17;967;967;1 013;1 122;1 201;31;2;29
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Blopa, Salvador;122718345;20;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Morten Hjulmand;122718348;22;1;0 %;2;0 %;0;0 %;0 %;2;2 168;2 168;2 072;0;0;2;0;2
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Giorgi Kochorashvili;122718323;22;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Clayton;122718327;60;34;1 %;38;1 %;31;1 %;91 %;11;508;508;412;1 629;1 660;7;3;4
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Ricardo Mangas;122718349;50;5;0 %;5;0 %;5;0 %;100 %;1;1 918;1 918;1 822;245;250;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Hidemasa Morita;122718340;55;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Joao Pedro Aranuth Barrocas Simoes;122718328;55;6;0 %;6;0 %;6;0 %;100 %;2;1 808;1 808;1 712;354;360;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Marc Gual;122718333;140;1;0 %;1;0 %;0;0 %;0 %;1;2 168;2 168;2 072;0;0;1;0;1
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Andre Luiz;122718342;140;4;0 %;4;0 %;4;0 %;100 %;2;1 688;1 688;1 592;476;480;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Karem Zoabi;122718350;150;1;0 %;2;0 %;0;0 %;0 %;2;2 168;2 168;2 072;0;0;2;0;2
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Dario Spikic;122718351;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Ole Pohlmann;122718337;150;1;0 %;1;0 %;1;0 %;100 %;1;2 018;2 018;1 922;149;150;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Antonis Papakanellos;122718330;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Matheus Reis;122718332;120;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Rafael Genuino Lobato;122718346;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Goncalo Inacio;122718321;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Brandon Aguilera Zamora;122718336;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Georgios Vagiannidis;122718324;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Joao Graca;122718331;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Georgios Liavas;122718339;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Quaresma;122718329;150;1;0 %;1;0 %;0;0 %;0 %;1;2 168;2 168;2 072;0;0;1;0;1
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Julien Lomboto;122718322;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Nikolaos Athanasiou;122718335;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7566;Football;Liga Portugal;Sporting-Rio Ave;Buteur 2 fois ou plus;Nelson Abbey;122718325;150;0;0 %;0;0 %;0;0 %;0 %;0;2 168;2 168;2 072;0;0;0;0;0
7570;;;;;30265634;;43,07;3 391;100 %;5 573;100 %;2 252;100 %;66 %;1 101;;;;;;3 321;1 324;1 997
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;L.Javier Suarez et F.Ioannidis;122718299;3,3;743;22 %;1 152;21 %;533;24 %;72 %;174;-1 117;-1 119;447;2 874;3 475;619;185;434
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;L.Javier Suarez et F.Trincao;122718291;3,95;1 262;37 %;2 587;46 %;568;25 %;45 %;573;-67;-108;-56;1 870;2 413;2 019;816;1 203
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;L.Javier Suarez et A.de Almeida Santos;122718298;4,45;2;0 %;8;0 %;0;0 %;0 %;7;2 359;2 359;2 252;0;0;8;3;5
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;F.Ioannidis et F.Trincao;122718289;4,8;359;11 %;416;7 %;324;14 %;90 %;48;787;783;681;1 251;1 571;92;46;46
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;L.Javier Suarez et M.Araujo;122718296;4,95;473;14 %;647;12 %;411;18 %;87 %;137;312;312;205;1 636;2 047;236;170;66
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;F.Ioannidis et A.de Almeida Santos;122718294;5,4;0;0 %;0;0 %;0;0 %;0 %;0;2 359;2 359;2 252;0;0;0;0;0
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;F.Ioannidis et M.Araujo;122718295;6;169;5 %;206;4 %;144;6 %;85 %;34;1 487;1 472;1 383;740;869;62;11;51
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;F.Trincao et A.de Almeida Santos;122718297;6,5;1;0 %;2;0 %;0;0 %;0 %;1;2 359;2 359;2 252;0;0;2;0;2
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;F.Trincao et M.Araujo;122718288;7,25;238;7 %;271;5 %;221;10 %;93 %;38;748;748;641;1 390;1 611;50;17;33
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;L.Javier Suarez et Clayton;122718292;10,3;111;3 %;239;4 %;23;1 %;21 %;73;2 122;2 122;2 015;214;237;216;69;147
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;A.de Almeida Santos et M.Araujo;122718301;8;0;0 %;0;0 %;0;0 %;0 %;0;2 359;2 359;2 252;0;0;0;0;0
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;F.Ioannidis et Clayton;122718287;12,5;28;1 %;33;1 %;26;1 %;93 %;4;2 024;2 024;1 917;309;335;7;7;0
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;F.Trincao et Clayton;122718293;15;4;0 %;10;0 %;1;0 %;25 %;10;2 344;2 303;2 240;52;13;9;0;9
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;A.de Almeida Santos et Clayton;122718290;16;0;0 %;0;0 %;0;0 %;0 %;0;2 359;2 359;2 252;0;0;0;0;0
7570;Football;Liga Portugal;Sporting-Rio Ave;Combiné Buteur;M.Araujo et Clayton;122718300;18;1;0 %;2;0 %;1;0 %;100 %;2;2 344;2 344;2 237;14;15;1;0;1
7571;;;;;30265633;;15,09;1 419;100 %;2 909;100 %;520;100 %;37 %;276;;;;;;2 389;1 385;1 004
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;L.Javier Suarez ou F.Ioannidis;122718282;1,65;164;12 %;433;15 %;0;0 %;0 %;54;939;923;520;16;0;433;69;364
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;L.Javier Suarez ou F.Trincao;122718280;1,8;960;68 %;1 921;66 %;420;81 %;44 %;177;-305;-342;-237;748;1 244;1 501;1 187;314
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;L.Javier Suarez ou A.de Almeida Santos;122718281;1,85;0;0 %;1;0 %;0;0 %;0 %;1;945;945;520;0;0;1;1;0
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;L.Javier Suarez ou M.Araujo;122718277;1,9;3;0 %;18;1 %;0;0 %;0 %;14;945;945;520;0;0;18;18;0
7571;Football;Liga Portugal;Sporting-Rio Ave;Double Chance Buteur MT;F.Ioannidis ou F.Trincao;122718284;2;185;13 %;406;14 %;0;0 %;0 %;10;-94;-94;520;740;1 040;406;106;300
